Posicao;Clube;Rodada;Vitorias;Empates;Derrotas;Gols;SG;Pts
5;Athletico_PR;28;12;9;7;41:32:00;9;45
7;Atlético_MG;28;12;7;9;32:22:00;10;43
14;Bahia;28;9;7;12;37:38:00;-1;34
1;Botafogo;28;18;5;5;45:18:00;27;59
1;Botafogo;28;18;5;5;45:18:00;27;59
2;Bragantino;28;14;10;4;40:24:00;16;52
15;Corinthians;28;7;12;9;34:36:00;-2;33
19;Coritiba;28;5;5;18;29:59:00;-30;20
13;Cruzeiro  ;28;8;10;10;25:24:00;1;34
11;Cuiabá;28;10;7;11;30:31:00;-1;37
3;Flamengo;28;14;8;6;41:31:00;10;50
9;Fluminense;28;12;6;10;37:35:00;2;42
8;Fortaleza;28;12;6;10;33:29:00;4;42
9;Fortaleza;28;12;6;10;33:29:00;4;42
9;Fortaleza;28;12;6;10;33:29:00;4;42
16;Goiás;28;7;10;11;28:38:00;-10;31
6;Grêmio;28;13;5;10;43:40:00;3;44
12;Internacional;28;9;8;11;30:33:00;-3;35
4;Palmeiras;28;13;8;7;42:24:00;18;47
18;Santos;28;8;6;14;31:52:00;-21;30
10;São Paulo;28;10;8;10;34:29:00;5;38
17;Vasco da Gama;28;8;6;14;28:39:00;-11;30
20;América_MG;29;4;7;18;33:60;-27;19
5;Athletico_PR;29;13;9;7;44:34:00;10;48
7;Atlético_MG;29;13;7;9;34:23:00;11;46
15;Bahia;29;9;7;13;37:41:00;-4;34
1;Botafogo;29;18;5;6;45:19:00;26;59
2;Bragantino;29;14;10;5;41:26:00;15;52
3;Bragantino;29;14;10;5;41:26:00;15;52
14;Corinthians;29;8;12;9;35:36:00;-1;36
19;Coritiba;29;5;5;19;30:61;-31;20
12;Cruzeiro  ;29;9;10;10;28:24:00;4;37
13;Cruzeiro  ;29;9;10;10;28:24:00;4;37
13;Cuiabá;29;10;7;12;30:32:00;-2;37
4;Flamengo;29;14;8;7;43:34:00;9;50
4;Flamengo;29;14;8;7;43:34:00;9;50
8;Fluminense;29;13;6;10;42:38:00;4;45
9;Fortaleza;29;12;6;11;34:32:00;2;42
17;Goiás;29;7;10;12;31:43:00;-12;31
6;Grêmio;29;14;5;10;46:42:00;4;47
11;Internacional;29;10;8;11;32:34:00;-2;38
3;Palmeiras;29;14;8;7;47:24:00;23;50
16;Santos;29;9;6;14;33:53:00;-20;33
10;São Paulo;29;10;8;11;34:34:00;0;38
18;Vasco da Gama;29;8;6;15;29:41:00;-12;30
20;América_MG;30;4;7;19;36:64;-28;19
7;Athletico_PR;30;13;10;7;45:35:00;10;49
6;Atlético_MG;30;14;7;9;36:23:00;13;49
15;Bahia;30;9;7;14;37:42:00;-5;34
1;Botafogo;30;18;5;7;48:23:00;25;59
3;Bragantino;30;15;10;5;43:26:00;17;55
14;Corinthians;30;8;13;9;36:37:00;-1;37
19;Coritiba;30;6;5;19;34:64;-30;23
14;Cruzeiro  ;30;9;10;11;28:25:00;3;37
10;Cuiabá;30;11;7;12;31:32:00;-1;40
6;Flamengo;30;14;8;8;44:36:00;8;50
8;Fluminense;30;13;6;11;42:40:00;2;45
10;Fortaleza;30;12;6;12;34:34:00;0;42
17;Goiás;30;7;11;12;32:44:00;-12;32
5;Grêmio;30;15;5;10;50:45:00;5;50
12;Internacional;30;10;8;12;35:38:00;-3;38
2;Palmeiras;30;15;8;7;48:24:00;24;53
16;Santos;30;9;7;14;34:54:00;-20;34
11;São Paulo;30;10;9;11;35:35:00;0;39
18;Vasco da Gama;30;8;7;15;30:42:00;-12;31
20;América_MG;31;4;8;19;37:65;-28;20
7;Athletico_PR;31;13;10;8;45:36:00;9;49
5;Atlético_MG;31;15;7;9;39:24:00;15;52
15;Bahia;31;10;7;14;38:42:00;-4;37
2;Botafogo;31;18;5;8;48:24:00;24;59
3;Bragantino;31;16;10;5;44:26:00;18;58
11;Corinthians;31;9;13;9;37:37:00;0;40
19;Coritiba;31;6;5;20;35:66;-31;23
15;Cruzeiro  ;31;9;10;12;29:27:00;2;37
17;Cruzeiro  ;33;9;10;12;29:27:00;2;37
12;Cuiabá;31;11;7;13;31:34:00;-3;40
6;Flamengo;31;15;8;8;46:36:00;10;53
8;Fluminense;31;13;6;12;42:41:00;1;45
8;Fluminense;31;13;6;12;42:41:00;1;45
11;Fortaleza;31;12;7;12;35:35:00;0;43
18;Goiás;31;7;11;13;32:46:00;-14;32
4;Grêmio;31;16;5;10;52:46:00;6;53
13;Internacional;31;10;9;12;36:39:00;-3;39
2;Palmeiras;31;16;8;7;52:27:00;25;56
16;Santos;31;10;7;14;36:55:00;-19;37
9;São Paulo;31;11;9;11;36:35:00;1;42
10;São Paulo;31;11;9;11;36:35:00;1;42
17;Vasco da Gama;31;9;7;15;32:42:00;-10;34
20;América_MG;32;4;9;19;38:66;-28;21
7;Athletico_PR;32;13;10;9;45:37:00;8;49
5;Atlético_MG;32;15;8;9;40:25:00;15;53
16;Bahia;32;10;7;15;38:43:00;-5;37
1;Botafogo;32;18;5;9;51:28:00;23;59
4;Bragantino;32;16;10;6;44:27:00;17;58
13;Corinthians;32;9;13;10;37:38:00;-1;40
19;Coritiba;32;6;5;21;35:67;-32;23
15;Cruzeiro  ;32;9;10;13;29:28:00;1;37
12;Cuiabá;32;11;8;13;31:34:00;-3;41
5;Flamengo;32;16;8;8;49:36:00;13;56
8;Fluminense;32;13;7;12;42:41:00;1;46
12;Fortaleza;32;12;7;13;36:37:00;-1;43
18;Goiás;32;8;11;13;33:46:00;-13;35
4;Grêmio;32;17;5;10;53:46:00;7;56
11;Internacional;32;11;9;12;38:40:00;-2;42
2;Palmeiras;32;17;8;7;53:27:00;26;59
14;Santos;32;10;8;14;36:55:00;-19;38
9;São Paulo;32;12;9;11;37:35:00;2;45
17;Vasco da Gama;32;10;7;15;33:42:00;-9;37
17;Vasco da Gama;32;10;7;15;33:42:00;-9;37
20;América_MG;33;4;9;20;38:69;-31;21
7;Athletico_PR;33;13;11;9;46:38:00;8;50
6;Atlético_MG;33;15;9;9;41:26:00;15;54
16;Bahia;33;10;7;16;38:46:00;-8;37
1;Botafogo;33;18;6;9;53:30:00;23;60
3;Bragantino;33;16;11;6;46:29:00;17;59
13;Corinthians;33;9;14;10;38:39:00;-1;41
19;Coritiba;33;7;5;21;38:67;-29;26
10;Cuiabá;33;12;8;13;34:34:00;0;44
6;Flamengo;33;16;9;8;50:37:00;13;57
8;Fluminense;33;13;8;12;43:42:00;1;47
18;Goiás;33;8;11;14;33:47:00;-14;35
3;Grêmio;33;18;5;10;57:49:00;8;59
12;Internacional;33;11;10;12;38:40:00;-2;43
2;Palmeiras;33;17;8;8;53:30:00;23;59
14;Santos;33;11;8;14;37:55:00;-18;41
10;São Paulo;33;12;10;11;37:35:00;2;46
15;Vasco da Gama;33;11;7;15;35:43:00;-8;40
20;América_MG;34;4;9;21;39:71;-32;21
7;Athletico_PR;34;13;12;9;47:39:00;8;51
5;Atlético_MG;34;16;9;9;43:27:00;16;57
16;Bahia;34;10;8;16;39:47:00;-8;38
2;Botafogo;34;18;5;11;57:50:00;23;60
4;Bragantino;34;16;11;6;46:29:00;17;59
11;Corinthians;34;10;14;10;39:39:00;0;44
19;Coritiba;34;8;5;21;39:67;-28;29
17;Cruzeiro  ;34;9;10;13;29:28:00;1;37
9;Cuiabá;34;13;8;13;36:35:00;1;47
6;Flamengo;34;16;9;8;50:37:00;13;57
8;Fluminense;34;13;9;12;43:42:00;1;47
12;Fortaleza;34;12;7;13;36:37:00;-1;43
18;Goiás;34;8;11;15;34:49:00;-15;35
3;Grêmio;34;18;5;11;57:50:00;7;59
13;Internacional;34;11;10;13;38:43:00;-5;43
1;Palmeiras;34;18;8;8;56:30:00;26;62
14;Santos;34;11;9;14;37:55:00;-18;42
10;São Paulo;34;12;10;11;37:35:00;2;46
15;Vasco da Gama;34;11;7;15;35:43:00;-8;40
